지역코드	지역명	시간	1월	2월	3월	4월	5월	6월	7월	8월	9월	10월	11월	12월
09	전주	18	0.54	0.49	0.44	0.44	0.46	0.59	0.65	0.65	0.61	0.51	0.56	0.62	
09	전주	19	0.57	0.53	0.52	0.49	0.51	0.64	0.70	0.70	0.67	0.60	0.61	0.65	
09	전주	20	0.61	0.57	0.55	0.53	0.56	0.68	0.74	0.73	0.73	0.67	0.64	0.68	
09	전주	21	0.63	0.61	0.57	0.56	0.60	0.71	0.77	0.75	0.78	0.73	0.66	0.71	
09	전주	22	0.65	0.63	0.60	0.60	0.63	0.74	0.82	0.77	0.81	0.77	0.69	0.75	
09	전주	23	0.67	0.66	0.64	0.64	0.66	0.77	0.84	0.79	0.83	0.80	0.71	0.75	
09	전주	24	0.69	0.70	0.68	0.67	0.67	0.78	0.86	0.80	0.84	0.82	0.72	0.76	
10	광주	1	0.74	0.70	0.70	0.66	0.73	0.80	0.84	0.85	0.77	0.74	0.74	0.73	
10	광주	2	0.75	0.71	0.72	0.69	0.75	0.81	0.85	0.86	0.78	0.77	0.76	0.74	
10	광주	3	0.76	0.72	0.72	0.72	0.78	0.82	0.85	0.87	0.79	0.78	0.77	0.75	
10	광주	4	0.77	0.73	0.75	0.73	0.80	0.84	0.86	0.88	0.81	0.79	0.78	0.76	
10	광주	5	0.78	0.73	0.75	0.74	0.81	0.85	0.88	0.89	0.81	0.80	0.80	0.77	
10	광주	6	0.79	0.73	0.74	0.76	0.82	0.85	0.88	0.89	0.82	0.81	0.80	0.78	
10	광주	7	0.79	0.73	0.74	0.76	0.80	0.83	0.87	0.88	0.81	0.81	0.81	0.78	
10	광주	8	0.79	0.73	0.71	0.70	0.75	0.78	0.83	0.84	0.77	0.77	0.79	0.79	
10	광주	9	0.76	0.68	0.65	0.62	0.67	0.73	0.79	0.79	0.71	0.69	0.73	0.76	
10	광주	10	0.68	0.62	0.56	0.53	0.59	0.69	0.75	0.74	0.66	0.62	0.66	0.68	
10	광주	11	0.62	0.56	0.48	0.45	0.53	0.64	0.72	0.71	0.62	0.57	0.61	0.62	
10	광주	12	0.57	0.50	0.43	0.40	0.47	0.60	0.70	0.68	0.57	0.50	0.55	0.57	
10	광주	13	0.55	0.46	0.39	0.36	0.44	0.57	0.68	0.66	0.54	0.46	0.52	0.54	
10	광주	14	0.51	0.44	0.36	0.34	0.43	0.56	0.66	0.66	0.53	0.43	0.48	0.53	
10	광주	15	0.49	0.44	0.36	0.33	0.44	0.56	0.66	0.67	0.53	0.42	0.47	0.51	
10	광주	16	0.50	0.44	0.36	0.34	0.46	0.57	0.66	0.67	0.53	0.44	0.49	0.53	
10	광주	17	0.54	0.46	0.39	0.36	0.46	0.60	0.68	0.68	0.54	0.46	0.52	0.57	
10	광주	18	0.59	0.50	0.45	0.41	0.50	0.64	0.72	0.72	0.59	0.52	0.57	0.61	
10	광주	19	0.62	0.56	0.51	0.45	0.55	0.67	0.74	0.76	0.64	0.57	0.61	0.63	
10	광주	20	0.65	0.59	0.56	0.50	0.60	0.70	0.76	0.80	0.67	0.61	0.64	0.64	
10	광주	21	0.67	0.61	0.61	0.54	0.63	0.73	0.79	0.81	0.70	0.64	0.66	0.65	
10	광주	22	0.69	0.64	0.63	0.58	0.65	0.76	0.80	0.82	0.72	0.67	0.68	0.66	
10	광주	23	0.71	0.65	0.64	0.61	0.68	0.78	0.81	0.84	0.74	0.69	0.69	0.69	
10	광주	24	0.73	0.68	0.67	0.63	0.70	0.79	0.83	0.85	0.76	0.72	0.72	0.71	
11	부산	1	0.47	0.57	0.58	0.58	0.68	0.78	0.87	0.80	0.74	0.69	0.62	0.49	
11	부산	2	0.47	0.58	0.58	0.57	0.68	0.79	0.87	0.80	0.76	0.69	0.62	0.50	
11	부산	3	0.48	0.60	0.58	0.59	0.69	0.79	0.88	0.81	0.76	0.70	0.62	0.51	
11	부산	4	0.48	0.61	0.58	0.59	0.71	0.80	0.89	0.82	0.76	0.71	0.62	0.52	
